CID,BDATE,GEN
CUST08292,1972-09-13,M
CUST08293,1972-09-14,M
CUST08294,1972-09-15,F
CUST08295,1972-09-16,F
CUST08296,1972-09-17,M
CUST08297,1972-09-18,F
CUST08298,1972-09-19,F
CUST08299,1972-09-20,M
CUST08300,1972-09-21,M
CUST08301,1972-09-22,F
CUST08302,1972-09-23,F
CUST08303,1972-09-24,
CUST08304,1972-09-25,
CUST08305,1972-09-26,F
CUST08306,1972-09-27,F
CUST08307,1972-09-28,F
CUST08308,1972-09-29,M
CUST08309,1972-09-30,F
CUST08310,1972-10-01,F
CUST08311,1972-10-02,F
CUST08312,1972-10-03,M
CUST08313,1972-10-04,F
CUST08314,1972-10-05,F
CUST08315,1972-10-06,F
CUST08316,1972-10-07,F
CUST08317,1972-10-08,M
CUST08318,1972-10-09,F
CUST08319,1972-10-10,F
CUST08320,1972-10-11,M
CUST08321,1972-10-12,F
CUST08322,1972-10-13,F
CUST08323,1972-10-14,M
CUST08324,1972-10-15,F
CUST08325,1972-10-16,F
CUST08326,1972-10-17,F
CUST08327,1972-10-18,M
CUST08328,1972-10-19,M
CUST08329,1972-10-20,F
CUST08330,1972-10-21,M
CUST08331,1972-10-22,F
CUST08332,1972-10-23,F
CUST08333,1972-10-24,F
CUST08334,1972-10-25,F
CUST08335,1972-10-26,F
CUST08336,1972-10-27,
CUST08337,1972-10-28,M
CUST08338,1972-10-29,F
CUST08339,1972-10-30,
CUST08340,1972-10-31,M
CUST08341,1972-11-01,F
CUST08342,1972-11-02,M
CUST08343,1972-11-03,
CUST08344,1972-11-04,F
CUST08345,1972-11-05,M
CUST08346,1972-11-06,M
CUST08347,1972-11-07,M
CUST08348,1972-11-08,F
CUST08349,1972-11-09,F
CUST08350,1972-11-10,M
CUST08351,1972-11-11,F
CUST08352,1972-11-12,M
CUST08353,1972-11-13,F
CUST08354,1972-11-14,M
CUST08355,1972-11-15,F
CUST08356,1972-11-16,F
CUST08357,1972-11-17,
CUST08358,1972-11-18,M
CUST08359,1972-11-19,M
CUST08360,1972-11-20,F
CUST08361,1972-11-21,M
CUST08362,1972-11-22,M
CUST08363,1972-11-23,F
CUST08364,1972-11-24,F
CUST08365,1972-11-25,F
CUST08366,1972-11-26,M
CUST08367,1972-11-27,
CUST08368,1972-11-28,F
CUST08369,1972-11-29,M
CUST08370,1972-11-30,F
CUST08371,1972-12-01,F
CUST08372,1972-12-02,M
CUST08373,1972-12-03,F
CUST08374,1972-12-04,M
CUST08375,1972-12-05,F
CUST08376,1972-12-06,M
CUST08377,1972-12-07,F
CUST08378,1972-12-08,M
CUST08379,1972-12-09,F
CUST08380,1972-12-10,
CUST08381,1972-12-11,M
CUST08382,1972-12-12,M
CUST08383,1972-12-13,M
CUST08384,1972-12-14,F
CUST08385,1972-12-15,M
CUST08386,1972-12-16,F
CUST08387,1972-12-17,M
CUST08388,1972-12-18,M
CUST08389,1972-12-19,M
CUST08390,1972-12-20,M
CUST08391,1972-12-21,M
CUST08392,1972-12-22,M
CUST08393,1972-12-23,M
CUST08394,1972-12-24,M
CUST08395,1972-12-25,M
CUST08396,1972-12-26,M
CUST08397,1972-12-27,M
CUST08398,1972-12-28,F
CUST08399,1972-12-29,F
CUST08400,1972-12-30,M
CUST08401,1972-12-31,F
CUST08402,1973-01-01,M
CUST08403,1973-01-02,
CUST08404,1973-01-03,F
CUST08405,1973-01-04,M
CUST08406,1973-01-05,F
CUST08407,1973-01-06,F
CUST08408,1973-01-07,F
CUST08409,1973-01-08,
CUST08410,1973-01-09,F
CUST08411,1973-01-10,
CUST08412,1973-01-11,M
CUST08413,1973-01-12,F
CUST08414,1973-01-13,F
CUST08415,1973-01-14,F
CUST08416,1973-01-15,
CUST08417,1973-01-16,F
CUST08418,1973-01-17,F
CUST08419,1973-01-18,
CUST08420,1973-01-19,M
CUST08421,1973-01-20,M
CUST08422,1973-01-21,M
CUST08423,1973-01-22,M
CUST08424,1973-01-23,M
CUST08425,1973-01-24,M
CUST08426,1973-01-25,F
CUST08427,1973-01-26,M
CUST08428,1973-01-27,F
CUST08429,1973-01-28,F
CUST08430,1973-01-29,F
CUST08431,1973-01-30,F
CUST08432,1973-01-31,F
CUST08433,1973-02-01,M
CUST08434,1973-02-02,F
CUST08435,1973-02-03,F
CUST08436,1973-02-04,F
CUST08437,1973-02-05,M
CUST08438,1973-02-06,F
CUST08439,1973-02-07,M
CUST08440,1973-02-08,
CUST08441,1973-02-09,F
CUST08442,1973-02-10,M
CUST08443,1973-02-11,F
CUST08444,1973-02-12,F
CUST08445,1973-02-13,M
CUST08446,1973-02-14,M
CUST08447,1973-02-15,F
CUST08448,1973-02-16,M
CUST08449,1973-02-17,F
CUST08450,1973-02-18,M
CUST08451,1973-02-19,F
CUST08452,1973-02-20,M
CUST08453,1973-02-21,F
CUST08454,1973-02-22,F
CUST08455,1973-02-23,F
CUST08456,1973-02-24,M
CUST08457,1973-02-25,
CUST08458,1973-02-26,F
CUST08459,1973-02-27,M
CUST08460,1973-02-28,M
CUST08461,1973-03-01,M
CUST08462,1973-03-02,F
CUST08463,1973-03-03,
CUST08464,1973-03-04,M
CUST08465,1973-03-05,M
CUST08466,1973-03-06,F
CUST08467,1973-03-07,F
CUST08468,1973-03-08,M
CUST08469,1973-03-09,F
CUST08470,1973-03-10,M
CUST08471,1973-03-11,M
CUST08472,1973-03-12,F
CUST08473,1973-03-13,M
CUST08474,1973-03-14,
CUST08475,1973-03-15,M
CUST08476,1973-03-16,M
CUST08477,1973-03-17,F
CUST08478,1973-03-18,M
CUST08479,1973-03-19,M
CUST08480,1973-03-20,F
CUST08481,1973-03-21,F
CUST08482,1973-03-22,
CUST08483,1973-03-23,F
CUST08484,1973-03-24,M
CUST08485,1973-03-25,F
CUST08486,1973-03-26,F
CUST08487,1973-03-27,F
CUST08488,1973-03-28,M
CUST08489,1973-03-29,M
CUST08490,1973-03-30,F
CUST08491,1973-03-31,M
CUST08492,1973-04-01,F
CUST08493,1973-04-02,F
CUST08494,1973-04-03,M
CUST08495,1973-04-04,M
CUST08496,1973-04-05,F
CUST08497,1973-04-06,
CUST08498,1973-04-07,F
CUST08499,1973-04-08,M
CUST08500,1973-04-09,M
CUST08501,1973-04-10,M
CUST08502,1973-04-11,F
CUST08503,1973-04-12,M
CUST08504,1973-04-13,F
CUST08505,1973-04-14,M
CUST08506,1973-04-15,M
CUST08507,1973-04-16,M
CUST08508,1973-04-17,M
CUST08509,1973-04-18,F
CUST08510,1973-04-19,F
CUST08511,1973-04-20,F
CUST08512,1973-04-21,F
CUST08513,1973-04-22,F
CUST08514,1973-04-23,
CUST08515,1973-04-24,M
CUST08516,1973-04-25,M
CUST08517,1973-04-26,M
CUST08518,1973-04-27,M
CUST08519,1973-04-28,F
CUST08520,1973-04-29,M
CUST08521,1973-04-30,F
CUST08522,1973-05-01,F
CUST08523,1973-05-02,M
CUST08524,1973-05-03,M
CUST08525,1973-05-04,F
CUST08526,1973-05-05,M
CUST08527,1973-05-06,M
CUST08528,1973-05-07,F
CUST08529,1973-05-08,
CUST08530,1973-05-09,F
CUST08531,1973-05-10,M
CUST08532,1973-05-11,F
CUST08533,1973-05-12,
CUST08534,1973-05-13,F
CUST08535,1973-05-14,M
CUST08536,1973-05-15,F
CUST08537,1973-05-16,M
CUST08538,1973-05-17,M
CUST08539,1973-05-18,
CUST08540,1973-05-19,M
CUST08541,1973-05-20,M
CUST08542,1973-05-21,M
CUST08543,1973-05-22,M
CUST08544,1973-05-23,M
CUST08545,1973-05-24,F
CUST08546,1973-05-25,F
CUST08547,1973-05-26,M
CUST08548,1973-05-27,F
CUST08549,1973-05-28,
CUST08550,1973-05-29,M
CUST08551,1973-05-30,M
CUST08552,1973-05-31,
CUST08553,1973-06-01,M
CUST08554,1973-06-02,F
CUST08555,1973-06-03,F
CUST08556,1973-06-04,F
CUST08557,1973-06-05,M
CUST08558,1973-06-06,F
CUST08559,1973-06-07,M
CUST08560,1973-06-08,F
CUST08561,1973-06-09,F
CUST08562,1973-06-10,F
CUST08563,1973-06-11,M
CUST08564,1973-06-12,M
CUST08565,1973-06-13,M
CUST08566,1973-06-14,M
CUST08567,1973-06-15,M
CUST08568,1973-06-16,F
CUST08569,1973-06-17,F
CUST08570,1973-06-18,M
CUST08571,1973-06-19,F
CUST08572,1973-06-20,F
CUST08573,1973-06-21,
CUST08574,1973-06-22,F
CUST08575,1973-06-23,M
CUST08576,1973-06-24,M
CUST08577,1973-06-25,F
CUST08578,1973-06-26,F
CUST08579,1973-06-27,M
CUST08580,1973-06-28,M
CUST08581,1973-06-29,F
CUST08582,1973-06-30,F
CUST08583,1973-07-01,M
CUST08584,1973-07-02,M
CUST08585,1973-07-03,M
CUST08586,1973-07-04,M
CUST08587,1973-07-05,M
CUST08588,1973-07-06,M
CUST08589,1973-07-07,M
CUST08590,1973-07-08,F
CUST08591,1973-07-09,F
CUST08592,1973-07-10,M
CUST08593,1973-07-11,M
CUST08594,1973-07-12,M
CUST08595,1973-07-13,F
CUST08596,1973-07-14,F
CUST08597,1973-07-15,F
CUST08598,1973-07-16,M
CUST08599,1973-07-17,F
CUST08600,1973-07-18,F
CUST08601,1973-07-19,F
CUST08602,1973-07-20,
CUST08603,1973-07-21,
CUST08604,1973-07-22,M
CUST08605,1973-07-23,M
CUST08606,1973-07-24,F
CUST08607,1973-07-25,F
CUST08608,1973-07-26,F
CUST08609,1973-07-27,M
CUST08610,1973-07-28,M
CUST08611,1973-07-29,F
CUST08612,1973-07-30,F
CUST08613,1973-07-31,
CUST08614,1973-08-01,F
CUST08615,1973-08-02,F
CUST08616,1973-08-03,F
CUST08617,1973-08-04,F
CUST08618,1973-08-05,F
CUST08619,1973-08-06,F
CUST08620,1973-08-07,M
CUST08621,1973-08-08,
CUST08622,1973-08-09,M
CUST08623,1973-08-10,M
CUST08624,1973-08-11,F
CUST08625,1973-08-12,
CUST08626,1973-08-13,M
CUST08627,1973-08-14,M
CUST08628,1973-08-15,F
CUST08629,1973-08-16,F
CUST08630,1973-08-17,
CUST08631,1973-08-18,M
CUST08632,1973-08-19,M
CUST08633,1973-08-20,F
CUST08634,1973-08-21,F
CUST08635,1973-08-22,M
CUST08636,1973-08-23,M
CUST08637,1973-08-24,M
CUST08638,1973-08-25,F
CUST08639,1973-08-26,F
CUST08640,1973-08-27,M
CUST08641,1973-08-28,M
CUST08642,1973-08-29,
CUST08643,1973-08-30,M
CUST08644,1973-08-31,F
CUST08645,1973-09-01,M
CUST08646,1973-09-02,
CUST08647,1973-09-03,M
CUST08648,1973-09-04,M
CUST08649,1973-09-05,M
CUST08650,1973-09-06,M
CUST08651,1973-09-07,F
CUST08652,1973-09-08,M
CUST08653,1973-09-09,F
CUST08654,1973-09-10,M
CUST08655,1973-09-11,
CUST08656,1973-09-12,F
CUST08657,1973-09-13,M
CUST08658,1973-09-14,F
CUST08659,1973-09-15,F
CUST08660,1973-09-16,M
CUST08661,1973-09-17,F
CUST08662,1973-09-18,F
CUST08663,1973-09-19,F
CUST08664,1973-09-20,M
CUST08665,1973-09-21,F
CUST08666,1973-09-22,M
CUST08667,1973-09-23,F
CUST08668,1973-09-24,F
CUST08669,1973-09-25,M
CUST08670,1973-09-26,F
CUST08671,1973-09-27,M
CUST08672,1973-09-28,F
CUST08673,1973-09-29,M
CUST08674,1973-09-30,M
CUST08675,1973-10-01,M
CUST08676,1973-10-02,F
CUST08677,1973-10-03,
CUST08678,1973-10-04,F
CUST08679,1973-10-05,M
CUST08680,1973-10-06,M
CUST08681,1973-10-07,M
CUST08682,1973-10-08,M
CUST08683,1973-10-09,M
CUST08684,1973-10-10,F
CUST08685,1973-10-11,M
CUST08686,1973-10-12,M
CUST08687,1973-10-13,M
CUST08688,1973-10-14,F
CUST08689,1973-10-15,M
CUST08690,1973-10-16,M
CUST08691,1973-10-17,M
CUST08692,1973-10-18,F
CUST08693,1973-10-19,M
CUST08694,1973-10-20,F
CUST08695,1973-10-21,M
CUST08696,1973-10-22,M
CUST08697,1973-10-23,M
CUST08698,1973-10-24,M
CUST08699,1973-10-25,F
CUST08700,1973-10-26,F
CUST08701,1973-10-27,M
CUST08702,1973-10-28,F
CUST08703,1973-10-29,M
CUST08704,1973-10-30,M
CUST08705,1973-10-31,F
CUST08706,1973-11-01,M
CUST08707,1973-11-02,F
CUST08708,1973-11-03,F
CUST08709,1973-11-04,M
CUST08710,1973-11-05,F
CUST08711,1973-11-06,M
CUST08712,1973-11-07,
CUST08713,1973-11-08,F
CUST08714,1973-11-09,F
CUST08715,1973-11-10,F
CUST08716,1973-11-11,F
CUST08717,1973-11-12,M
CUST08718,1973-11-13,M
CUST08719,1973-11-14,F
CUST08720,1973-11-15,F
CUST08721,1973-11-16,F
CUST08722,1973-11-17,F
CUST08723,1973-11-18,F
CUST08724,1973-11-19,M
CUST08725,1973-11-20,F
CUST08726,1973-11-21,F
CUST08727,1973-11-22,M
CUST08728,1973-11-23,F
CUST08729,1973-11-24,M
CUST08730,1973-11-25,F
CUST08731,1973-11-26,
CUST08732,1973-11-27,M
CUST08733,1973-11-28,F
CUST08734,1973-11-29,M
CUST08735,1973-11-30,M
CUST08736,1973-12-01,F
CUST08737,1973-12-02,F
CUST08738,1973-12-03,F
CUST08739,1973-12-04,M
CUST08740,1973-12-05,F
CUST08741,1973-12-06,
CUST08742,1973-12-07,F
CUST08743,1973-12-08,F
CUST08744,1973-12-09,
CUST08745,1973-12-10,M
CUST08746,1973-12-11,F
CUST08747,1973-12-12,F
CUST08748,1973-12-13,F
CUST08749,1973-12-14,M
CUST08750,1973-12-15,F
CUST08751,1973-12-16,M
CUST08752,1973-12-17,M
CUST08753,1973-12-18,F
CUST08754,1973-12-19,F
CUST08755,1973-12-20,
CUST08756,1973-12-21,M
CUST08757,1973-12-22,M
CUST08758,1973-12-23,
CUST08759,1973-12-24,
CUST08760,1973-12-25,M
CUST08761,1973-12-26,
CUST08762,1973-12-27,M
CUST08763,1973-12-28,F
CUST08764,1973-12-29,M
CUST08765,1973-12-30,M
CUST08766,1973-12-31,F
CUST08767,1974-01-01,F
CUST08768,1974-01-02,F
CUST08769,1974-01-03,F
CUST08770,1974-01-04,
CUST08771,1974-01-05,M
CUST08772,1974-01-06,F
CUST08773,1974-01-07,
CUST08774,1974-01-08,
CUST08775,1974-01-09,M
CUST08776,1974-01-10,M
CUST08777,1974-01-11,F
CUST08778,1974-01-12,F
CUST08779,1974-01-13,M
CUST08780,1974-01-14,F
CUST08781,1974-01-15,F
CUST08782,1974-01-16,F
CUST08783,1974-01-17,M
CUST08784,1974-01-18,F
CUST08785,1974-01-19,M
CUST08786,1974-01-20,M
CUST08787,1974-01-21,M
CUST08788,1974-01-22,
CUST08789,1974-01-23,F
CUST08790,1974-01-24,F
CUST08791,1974-01-25,F
CUST08792,1974-01-26,M
CUST08793,1974-01-27,
CUST08794,1974-01-28,M
CUST08795,1974-01-29,M
CUST08796,1974-01-30,F
CUST08797,1974-01-31,M
CUST08798,1974-02-01,M
CUST08799,1974-02-02,F
CUST08800,1974-02-03,F
CUST08801,1974-02-04,
CUST08802,1974-02-05,F
CUST08803,1974-02-06,M
CUST08804,1974-02-07,M
CUST08805,1974-02-08,F
CUST08806,1974-02-09,M
CUST08807,1974-02-10,M
CUST08808,1974-02-11,M
CUST08809,1974-02-12,M
CUST08810,1974-02-13,F
CUST08811,1974-02-14,M
CUST08812,1974-02-15,M
CUST08813,1974-02-16,M
CUST08814,1974-02-17,F
CUST08815,1974-02-18,M
CUST08816,1974-02-19,M
CUST08817,1974-02-20,F
CUST08818,1974-02-21,F
CUST08819,1974-02-22,F
CUST08820,1974-02-23,M
CUST08821,1974-02-24,M
CUST08822,1974-02-25,M
CUST08823,1974-02-26,F
CUST08824,1974-02-27,F
CUST08825,1974-02-28,M
CUST08826,1974-03-01,M
CUST08827,1974-03-02,
CUST08828,1974-03-03,M
CUST08829,1974-03-04,
CUST08830,1974-03-05,M
CUST08831,1974-03-06,F
CUST08832,1974-03-07,F
CUST08833,1974-03-08,F
CUST08834,1974-03-09,F
CUST08835,1974-03-10,F
CUST08836,1974-03-11,F
CUST08837,1974-03-12,M
CUST08838,1974-03-13,F
CUST08839,1974-03-14,M
CUST08840,1974-03-15,F
CUST08841,1974-03-16,M
CUST08842,1974-03-17,
CUST08843,1974-03-18,M
CUST08844,1974-03-19,
CUST08845,1974-03-20,F
CUST08846,1974-03-21,
CUST08847,1974-03-22,F
CUST08848,1974-03-23,F
CUST08849,1974-03-24,M
CUST08850,1974-03-25,F
CUST08851,1974-03-26,M
CUST08852,1974-03-27,M
CUST08853,1974-03-28,M
CUST08854,1974-03-29,M
CUST08855,1974-03-30,M
CUST08856,1974-03-31,M
CUST08857,1974-04-01,F
CUST08858,1974-04-02,F
CUST08859,1974-04-03,F
CUST08860,1974-04-04,F
CUST08861,1974-04-05,F
CUST08862,1974-04-06,
CUST08863,1974-04-07,F
CUST08864,1974-04-08,F
CUST08865,1974-04-09,M
CUST08866,1974-04-10,M
CUST08867,1974-04-11,M
CUST08868,1974-04-12,M
CUST08869,1974-04-13,F
CUST08870,1974-04-14,
CUST08871,1974-04-15,M
CUST08872,1974-04-16,M
CUST08873,1974-04-17,
CUST08874,1974-04-18,F
CUST08875,1974-04-19,F
CUST08876,1974-04-20,M
CUST08877,1974-04-21,M
CUST08878,1974-04-22,F
CUST08879,1974-04-23,F
CUST08880,1974-04-24,M
CUST08881,1974-04-25,M
CUST08882,1974-04-26,M
CUST08883,1974-04-27,F
CUST08884,1974-04-28,F
CUST08885,1974-04-29,M
CUST08886,1974-04-30,M
CUST08887,1974-05-01,F
CUST08888,1974-05-02,M
CUST08889,1974-05-03,F
CUST08890,1974-05-04,F
CUST08891,1974-05-05,F
CUST08892,1974-05-06,F
CUST08893,1974-05-07,F
CUST08894,1974-05-08,F
CUST08895,1974-05-09,F
CUST08896,1974-05-10,F
CUST08897,1974-05-11,F
CUST08898,1974-05-12,M
CUST08899,1974-05-13,M
CUST08900,1974-05-14,
CUST08901,1974-05-15,F
CUST08902,1974-05-16,F
CUST08903,1974-05-17,F
CUST08904,1974-05-18,
CUST08905,1974-05-19,F
CUST08906,1974-05-20,M
CUST08907,1974-05-21,
CUST08908,1974-05-22,M
CUST08909,1974-05-23,
CUST08910,1974-05-24,F
CUST08911,1974-05-25,M
CUST08912,1974-05-26,F
CUST08913,1974-05-27,M
CUST08914,1974-05-28,F
CUST08915,1974-05-29,F
CUST08916,1974-05-30,
CUST08917,1974-05-31,F
CUST08918,1974-06-01,F
CUST08919,1974-06-02,M
CUST08920,1974-06-03,M
CUST08921,1974-06-04,M
CUST08922,1974-06-05,M
CUST08923,1974-06-06,M
CUST08924,1974-06-07,M
CUST08925,1974-06-08,F
CUST08926,1974-06-09,M
CUST08927,1974-06-10,F
CUST08928,1974-06-11,F
CUST08929,1974-06-12,F
CUST08930,1974-06-13,M
CUST08931,1974-06-14,F
CUST08932,1974-06-15,
CUST08933,1974-06-16,
CUST08934,1974-06-17,F
CUST08935,1974-06-18,F
CUST08936,1974-06-19,F
CUST08937,1974-06-20,F
CUST08938,1974-06-21,F
CUST08939,1974-06-22,F
CUST08940,1974-06-23,M
CUST08941,1974-06-24,F
CUST08942,1974-06-25,M
CUST08943,1974-06-26,F
CUST08944,1974-06-27,M
CUST08945,1974-06-28,M
CUST08946,1974-06-29,F
CUST08947,1974-06-30,F
CUST08948,1974-07-01,M
CUST08949,1974-07-02,F
CUST08950,1974-07-03,F
CUST08951,1974-07-04,F
CUST08952,1974-07-05,F
CUST08953,1974-07-06,F
CUST08954,1974-07-07,M
CUST08955,1974-07-08,F
CUST08956,1974-07-09,M
CUST08957,1974-07-10,F
CUST08958,1974-07-11,F
CUST08959,1974-07-12,M
CUST08960,1974-07-13,F
CUST08961,1974-07-14,M
CUST08962,1974-07-15,M
CUST08963,1974-07-16,M
CUST08964,1974-07-17,M
CUST08965,1974-07-18,F
CUST08966,1974-07-19,F
CUST08967,1974-07-20,M
CUST08968,1974-07-21,M
CUST08969,1974-07-22,M
CUST08970,1974-07-23,F
CUST08971,1974-07-24,M
CUST08972,1974-07-25,
CUST08973,1974-07-26,M
CUST08974,1974-07-27,F
CUST08975,1974-07-28,
CUST08976,1974-07-29,M
CUST08977,1974-07-30,M
CUST08978,1974-07-31,F
CUST08979,1974-08-01,F
CUST08980,1974-08-02,M
CUST08981,1974-08-03,M
CUST08982,1974-08-04,F
CUST08983,1974-08-05,F
CUST08984,1974-08-06,M
CUST08985,1974-08-07,M
CUST08986,1974-08-08,M
CUST08987,1974-08-09,M
CUST08988,1974-08-10,F
CUST08989,1974-08-11,
CUST08990,1974-08-12,
CUST08991,1974-08-13,M
CUST08992,1974-08-14,F
CUST08993,1974-08-15,F
CUST08994,1974-08-16,M
CUST08995,1974-08-17,M
CUST08996,1974-08-18,F
CUST08997,1974-08-19,
CUST08998,1974-08-20,F
CUST08999,1974-08-21,M
CUST09000,1974-08-22,M
CUST09001,1974-08-23,F
CUST09002,1974-08-24,M
CUST09003,1974-08-25,M
CUST09004,1974-08-26,
CUST09005,1974-08-27,F
CUST09006,1974-08-28,M
CUST09007,1974-08-29,F
CUST09008,1974-08-30,F
CUST09009,1974-08-31,F
CUST09010,1974-09-01,F
CUST09011,1974-09-02,M
CUST09012,1974-09-03,M
CUST09013,1974-09-04,F
CUST09014,1974-09-05,F
CUST09015,1974-09-06,M
CUST09016,1974-09-07,F
CUST09017,1974-09-08,F
CUST09018,1974-09-09,M
CUST09019,1974-09-10,M
CUST09020,1974-09-11,M
CUST09021,1974-09-12,M
CUST09022,1974-09-13,F
CUST09023,1974-09-14,F
CUST09024,1974-09-15,M
CUST09025,1974-09-16,M
CUST09026,1974-09-17,F
CUST09027,1974-09-18,F
CUST09028,1974-09-19,F
CUST09029,1974-09-20,F
CUST09030,1974-09-21,
CUST09031,1974-09-22,M
CUST09032,1974-09-23,F
CUST09033,1974-09-24,F
CUST09034,1974-09-25,
CUST09035,1974-09-26,M
CUST09036,1974-09-27,M
CUST09037,1974-09-28,F
CUST09038,1974-09-29,F
CUST09039,1974-09-30,F
CUST09040,1974-10-01,F
CUST09041,1974-10-02,F
CUST09042,1974-10-03,M
CUST09043,1974-10-04,F
CUST09044,1974-10-05,M
CUST09045,1974-10-06,
CUST09046,1974-10-07,M
CUST09047,1974-10-08,M
CUST09048,1974-10-09,M
CUST09049,1974-10-10,M
CUST09050,1974-10-11,F
CUST09051,1974-10-12,M
CUST09052,1974-10-13,
CUST09053,1974-10-14,M
CUST09054,1974-10-15,F
CUST09055,1974-10-16,M
CUST09056,1974-10-17,F
CUST09057,1974-10-18,F
CUST09058,1974-10-19,M
CUST09059,1974-10-20,F
CUST09060,1974-10-21,F
CUST09061,1974-10-22,F
CUST09062,1974-10-23,M
CUST09063,1974-10-24,F
CUST09064,1974-10-25,F
CUST09065,1974-10-26,M
CUST09066,1974-10-27,
CUST09067,1974-10-28,F
CUST09068,1974-10-29,F
CUST09069,1974-10-30,M
CUST09070,1974-10-31,F
CUST09071,1974-11-01,F
CUST09072,1974-11-02,M
CUST09073,1974-11-03,F
CUST09074,1974-11-04,M
CUST09075,1974-11-05,M
CUST09076,1974-11-06,M
CUST09077,1974-11-07,F
CUST09078,1974-11-08,
CUST09079,1974-11-09,
CUST09080,1974-11-10,F
CUST09081,1974-11-11,
CUST09082,1974-11-12,F
CUST09083,1974-11-13,M
CUST09084,1974-11-14,F
CUST09085,1974-11-15,M
CUST09086,1974-11-16,M
CUST09087,1974-11-17,F
CUST09088,1974-11-18,F
CUST09089,1974-11-19,M
CUST09090,1974-11-20,F
CUST09091,1974-11-21,F
CUST09092,1974-11-22,M
CUST09093,1974-11-23,F
CUST09094,1974-11-24,F
CUST09095,1974-11-25,F
CUST09096,1974-11-26,M
CUST09097,1974-11-27,M
CUST09098,1974-11-28,F
CUST09099,1974-11-29,
CUST09100,1974-11-30,F
CUST09101,1974-12-01,F
CUST09102,1974-12-02,F
CUST09103,1974-12-03,F
CUST09104,1974-12-04,
CUST09105,1974-12-05,F
CUST09106,1974-12-06,M
CUST09107,1974-12-07,M
CUST09108,1974-12-08,M
CUST09109,1974-12-09,M
CUST09110,1974-12-10,
CUST09111,1974-12-11,M
CUST09112,1974-12-12,F
CUST09113,1974-12-13,F
CUST09114,1974-12-14,F
CUST09115,1974-12-15,M
CUST09116,1974-12-16,M
CUST09117,1974-12-17,F
CUST09118,1974-12-18,M
CUST09119,1974-12-19,F
CUST09120,1974-12-20,
CUST09121,1974-12-21,
CUST09122,1974-12-22,M
CUST09123,1974-12-23,M
CUST09124,1974-12-24,F
CUST09125,1974-12-25,F
CUST09126,1974-12-26,
CUST09127,1974-12-27,F
CUST09128,1974-12-28,M
CUST09129,1974-12-29,F
CUST09130,1974-12-30,M
CUST09131,1974-12-31,F
CUST09132,1975-01-01,F
CUST09133,1975-01-02,M
CUST09134,1975-01-03,F
CUST09135,1975-01-04,F
CUST09136,1975-01-05,M
CUST09137,1975-01-06,F
CUST09138,1975-01-07,
CUST09139,1975-01-08,F
CUST09140,1975-01-09,F
CUST09141,1975-01-10,
CUST09142,1975-01-11,F
CUST09143,1975-01-12,M
CUST09144,1975-01-13,F
CUST09145,1975-01-14,M
CUST09146,1975-01-15,
CUST09147,1975-01-16,F
CUST09148,1975-01-17,M
CUST09149,1975-01-18,M
CUST09150,1975-01-19,F
CUST09151,1975-01-20,M
CUST09152,1975-01-21,M
CUST09153,1975-01-22,M
CUST09154,1975-01-23,
CUST09155,1975-01-24,F
CUST09156,1975-01-25,F
CUST09157,1975-01-26,F
CUST09158,1975-01-27,M
CUST09159,1975-01-28,F
CUST09160,1975-01-29,M
CUST09161,1975-01-30,M
CUST09162,1975-01-31,F
CUST09163,1975-02-01,F
CUST09164,1975-02-02,
CUST09165,1975-02-03,M
CUST09166,1975-02-04,F
CUST09167,1975-02-05,M
CUST09168,1975-02-06,F
CUST09169,1975-02-07,M
CUST09170,1975-02-08,F
CUST09171,1975-02-09,F
CUST09172,1975-02-10,F
CUST09173,1975-02-11,F
CUST09174,1975-02-12,F
CUST09175,1975-02-13,F
CUST09176,1975-02-14,F
CUST09177,1975-02-15,M
CUST09178,1975-02-16,M
CUST09179,1975-02-17,M
CUST09180,1975-02-18,M
CUST09181,1975-02-19,M
CUST09182,1975-02-20,F
CUST09183,1975-02-21,F
CUST09184,1975-02-22,F
CUST09185,1975-02-23,M
CUST09186,1975-02-24,M
CUST09187,1975-02-25,F
CUST09188,1975-02-26,M
CUST09189,1975-02-27,F
CUST09190,1975-02-28,M
CUST09191,1975-03-01,
CUST09192,1975-03-02,F
CUST09193,1975-03-03,M
CUST09194,1975-03-04,M
CUST09195,1975-03-05,M
CUST09196,1975-03-06,M
CUST09197,1975-03-07,F
CUST09198,1975-03-08,F
CUST09199,1975-03-09,M
CUST09200,1975-03-10,M
CUST09201,1975-03-11,M
CUST09202,1975-03-12,F
CUST09203,1975-03-13,F
CUST09204,1975-03-14,F
CUST09205,1975-03-15,F
CUST09206,1975-03-16,
CUST09207,1975-03-17,M
CUST09208,1975-03-18,M
CUST09209,1975-03-19,F
CUST09210,1975-03-20,M
CUST09211,1975-03-21,M
CUST09212,1975-03-22,F
CUST09213,1975-03-23,M
CUST09214,1975-03-24,F
CUST09215,1975-03-25,M
CUST09216,1975-03-26,F
CUST09217,1975-03-27,
CUST09218,1975-03-28,M
CUST09219,1975-03-29,F
CUST09220,1975-03-30,M
CUST09221,1975-03-31,F
CUST09222,1975-04-01,F
CUST09223,1975-04-02,F
CUST09224,1975-04-03,M
CUST09225,1975-04-04,F
CUST09226,1975-04-05,M
CUST09227,1975-04-06,M
CUST09228,1975-04-07,
CUST09229,1975-04-08,M
